"n1" "n2" "spearman_rho" "spearman_p" "pearson_r" "pearson_p"
"A" "B" "0.854893843584723" "0.00162189363037698" "0.875333998171058" "0.000906722265840321"
"A" "C" "0.77713312220802" "0.00816636401069804" "0.700309102359152" "0.024116764374511"
"A" "D" "0.930398381823814" "9.43435885128238e-05" "0.888519559258208" "0.000589464672866136"
"A" "E" "0.798198235332835" "0.0056421070598158" "0.873902613875406" "0.000947381261282132"
"A" "F" "0.962807209934548" "8.00380887315966e-06" "0.866359447004608" "0.00118393276106299"
"A" "G" "0.869632318650559" "0.00107657829067919" "0.809563168115175" "0.00454069641869204"
"A" "H" "0.87814215138139" "0.000830669995323247" "0.838616386908469" "0.00243070610273244"
"A" "I" "0.89622641509434" "0.00044688006655979" "0.840235298830122" "0.00233945180708206"
"A" "J" "0.937308680688001" "6.26260839114185e-05" "0.890628675859619" "0.00054754808910884"
"A" "gpvra" "0.20440251572327" "0.571087134704837" "0.235861515988255" "0.511810054099796"
"A" "zvfyb" "0.433040718993301" "0.211266365193842" "0.320871510639333" "0.366005942248145"
"A" "aoxmh" "0.152001553929311" "0.675073004729147" "0.21482131163108" "0.551170550612547"
"A" "yehmh" "-0.584739149177007" "0.0758186874149439" "-0.449010980581747" "0.193008524801767"
"A" "jvcic" "0.246840387014481" "0.491751400266156" "0.248241768480885" "0.489215587315017"
"A" "btsxj" "-0.0900690615745222" "0.80456452424255" "-0.0830088863162828" "0.819664082758009"
"A" "uzeqx" "-0.313481164109699" "0.377767549410822" "-0.175178855081701" "0.628340926964824"
"A" "yskuq" "0.295963081326357" "0.406372569506362" "0.269525685840014" "0.451408087033606"
"A" "vtlal" "-0.32202000873465" "0.364194685626116" "-0.376714430993539" "0.283261763293996"
"A" "uaeem" "-0.288901991317128" "0.41818511012692" "-0.255022391949063" "0.477025990344073"
"A" "urajm" "-0.352201257861635" "0.318226632939585" "-0.310269545024555" "0.382935881881897"
"A" "qtfvk" "0.546885681465278" "0.101850668321362" "0.654705203151713" "0.0399474937886011"
"A" "uktdb" "-0.113207547169811" "0.755507921071152" "-0.111490113474424" "0.759124331639691"
"A" "cahkb" "-0.289308176100629" "0.417501272665949" "-0.156945455628268" "0.665014139023129"
"A" "tximj" "0.247650119646663" "0.490285495574082" "0.223985402112836" "0.533882262738874"
"A" "ckrpu" "-0.0496932753514605" "0.891563998778989" "0.0231998371686476" "0.94927766247844"
"A" "fougb" "0.118021528959719" "0.745394050946082" "0.259456543395672" "0.469127257584242"
"A" "lmmfv" "0.0903466248259405" "0.803972056797534" "0.140876180175989" "0.697876779334715"
"A" "reerp" "0.145528273178159" "0.688313685338041" "0.0520273783766688" "0.886497675875768"
"A" "hctpv" "0.312506103694445" "0.37933303714115" "0.340954332650491" "0.334985736935116"
"A" "iqnpj" "0.0251572327044025" "0.945003368887306" "0.272044617483378" "0.447023316802961"
"A" "zfegf" "0.387507568581111" "0.268557229654205" "0.339289229617646" "0.337504650060265"
"A" "matgd" "0.781965614872795" "0.00752807552322403" "0.710592113760324" "0.0212649062697001"
"A" "iebld" "0.442008441394676" "0.200896189147066" "0.602638219971051" "0.065186343915582"
"A" "djota" "-0.13355067750705" "0.713012952208076" "-0.0737233617692502" "0.839603814693186"
"A" "lgvzk" "-0.476837320626309" "0.163483777804682" "-0.541529850955239" "0.105935704143489"
"A" "jelgm" "-0.236043057919438" "0.511475634620331" "-0.188929277343494" "0.601155785752379"
"A" "etzbl" "0.298159652108763" "0.402730680363391" "0.314330771504293" "0.376406073137159"
"A" "pufan" "0.0465874456419942" "0.898310859308213" "-0.0700196082358435" "0.847580843756622"
"A" "kdbhd" "-0.316615975750796" "0.372756097580013" "-0.211371528032064" "0.557734864588265"
"A" "qusnn" "0.82445546160851" "0.00334181330727772" "0.783759040756297" "0.00730046346631585"
"A" "hapfq" "0.0251572327044025" "0.945003368887306" "0.0803330524214017" "0.82540111001973"
"A" "hvffs" "0.0721006677452309" "0.843097144597081" "0.0757627123798851" "0.83521708856352"
"A" "vdvms" "-0.153127990810278" "0.672777012782759" "-0.242532855436081" "0.499580945385321"
"A" "kgcrf" "-0.13084683595481" "0.718622881328938" "-0.0489901784537313" "0.89309081693147"
"A" "rfyjm" "0.495260556543649" "0.145528585529451" "0.494136581787063" "0.146587880995254"
"A" "zbbvn" "0.546626028866066" "0.102046373652757" "0.59968774392889" "0.0668672174097176"
"A" "aubmy" "-0.278998236057633" "0.435020172585703" "-0.269312264028552" "0.451780484726793"
"A" "uedqa" "0.0965774265380743" "0.790696369661209" "-0.114937445316801" "0.751869581790127"
"A" "xppru" "-0.230539663348951" "0.521653675111361" "-0.0413913214530655" "0.909611447836522"
"A" "wvuba" "-0.695928184323533" "0.0254077979950458" "-0.7040869426181" "0.0230402657838446"
"A" "mtosw" "0.354677844582775" "0.314596309918235" "0.455933626581559" "0.185391905700892"
"A" "aevfe" "0.345809495023427" "0.327696409077063" "0.224706983031592" "0.532530347242722"
"A" "myyye" "-0.34269409416736" "0.332364234994219" "-0.303180757925765" "0.394464720476409"
"A" "gwcxo" "0.102808228250208" "0.777468977991699" "0.106351689257385" "0.769969236195584"
"A" "rhvty" "0.520271942963174" "0.12316004282111" "0.51564102839945" "0.127128786156198"
"A" "gnywd" "0.345911949685535" "0.327543479733592" "0.209314352602258" "0.561663664305946"
"A" "lbglu" "0.784132116616125" "0.00725373519657963" "0.701672490716103" "0.0237243649707335"
"A" "cwzfx" "-0.391334543392752" "0.263445943093887" "-0.212015536301458" "0.55650713391581"
"A" "zyqar" "-0.414348313856899" "0.233851161013345" "-0.381161198131471" "0.27715190793054"
"A" "luwtc" "-0.334386521844947" "0.344977357843127" "-0.430919821709639" "0.213763080441826"
