"n1" "n2" "mean" "sd" "lo95" "hi95" "lo999" "hi999" "lo9999" "hi9999"
"A" "B" "1.10069728401726" "0.0532378231130789" "1.01352664453953" "1.21995483364871" "0.972275458565433" "1.28562948261296" "0.967179061801873" "1.29258016748055"
"A" "C" "1.08339033747175" "0.0479041809163782" "0.997458531679728" "1.18885150415157" "0.962598140640779" "1.2460884054254" "0.953097891313876" "1.28097203083161"
"A" "D" "1.09901139097237" "0.0431458446305413" "1.02273234828264" "1.18770098796964" "0.988815987269606" "1.24987656932283" "0.971737044904845" "1.2715976915361"
"A" "E" "1.09622719507962" "0.0366335345809175" "1.0302501698455" "1.17374886998473" "0.997530051673982" "1.21514382316824" "0.990580821660452" "1.22864086786196"
"A" "F" "1.0881403529561" "0.0369474091119265" "1.01572500931252" "1.16145537773441" "0.983285490062617" "1.20454531609977" "0.970103617400405" "1.22491241506031"
"A" "G" "1.08995708838429" "0.0400609615591364" "1.0144524791615" "1.1725274785606" "0.981963655287308" "1.21594397086394" "0.97407741234701" "1.22949750775157"
"A" "H" "1.09238230233082" "0.0358770997056165" "1.02656132427106" "1.16537094181683" "0.99136858758044" "1.2208926857833" "0.979791029830056" "1.25866160568697"
"A" "I" "1.09030566751548" "0.0356868618310544" "1.02417073634769" "1.16467838726688" "0.988033671148405" "1.21436977750346" "0.977850783471961" "1.24279433012306"
"A" "J" "1.09681191375546" "0.0396835914985504" "1.02328693070007" "1.17484737340058" "0.988300459073256" "1.22251073683539" "0.962824465464089" "1.23548899597287"
"A" "gpvra" "1.03027688859454" "0.0360133084373086" "0.964486714077243" "1.10625356636998" "0.926698853556494" "1.1532308678627" "0.910038500718513" "1.1742657864848"
"A" "zvfyb" "1.0306917998004" "0.0290081165329681" "0.977017353727912" "1.08995508081882" "0.951303610616489" "1.12270411377058" "0.946211604099227" "1.13038079954432"
"A" "aoxmh" "1.03556578678843" "0.0630289256177158" "0.931100592916058" "1.18335797241121" "0.855546308740827" "1.27242583454756" "0.833933288995759" "1.34103773995609"
"A" "yehmh" "0.940058341975411" "0.0354561829702292" "0.868997497296482" "1.00807649226725" "0.832616825413697" "1.03657389167673" "0.819293143728582" "1.06787896260613"
"A" "jvcic" "1.0361547811693" "0.0568127556795803" "0.931391054533929" "1.15845939334473" "0.885005198869709" "1.24063003696016" "0.872899812169608" "1.31448279554883"
"A" "btsxj" "0.989821976721931" "0.0292733247905158" "0.932783159539988" "1.04769781548499" "0.885716745771873" "1.08725039267158" "0.877259276957875" "1.09594445323682"
